"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"5387",17349,"wii microphone"," 4in1 applied design double karaoke microphones ps3 specially wii xbox360","",3,0.4
"5388",17352,"mac book air cover"," edition macbook mavericks paperback"," accessing activating air annotating app appointments apps arranging buying calendar callouts center challenging checking common communicating connecting control covers creating data devices downloading email enjoying events exactly expanding facebook files friends fullcolor game games get getting greatest hardware help ibooks icloud important include instant instructions integration just keeping latest launchpad limitations macbook managing maps messaging mission movies music navigating network notes notification online opening operating organizing peripheral photos planning pro problems protecting reading reminders resources run securing services show social software sources staying stepbystep store system tagging tasks tips top traffic trips troubleshooting twitter using video virtual walk want way working workspaces",3,0.471
"5389",17355,"micro usb to hdmi"," 10ft adapter cable charger galaxy hdmi iii insten mhl micro n9000 note samsung travel usb"," 100240v 1080p 10feet accessories accessory adapter adjusts allows anywhere appliances appropriate approved asia audio automatically big black board cable cablecomes cameras can cell charge charger chargers charging circuit circuits color compatible connect connector consult content corp countries data design designed device devices digital display eforcity electronic enabled endorse enjoying equipped etc europe extra faster featuring fit formats frequencies function gadgets generic hdmi hdtv high highdefinition hmdi home host included including indicator innovative iphone ipods itdigital jack larger led length lightweight like link listed made make male manualthe manufacturer may mhl micro microusb mimicro mobile modes movie name names necessarily needs nonoem normally note originally output owners pair patented pda phone phones pin port portable power product products properly protect purchase quality quantity registered rely resolutions samsung screen select shaped short shows smartphone source standard states status steps supports sure switch tablet tech technology times trademark trademarks transfers travel traveler type united usb use used valuable version video viewing voltages warning will work world",3,0.471
"5390",17359,"deep fryers"," 16l black compact deep ff122851 fryer tfal"," adjustable allows also aluminum ample appetizers automatic black button capacity celsius compact convenience convenient cooking coolwall correct crispy deep displays easyviewing ensure exterior extra fahrenheit features ff122851 fixed food foods fry fryer frying get goldenbrown help include just key know lbs lets lidopening light liters minutes needs oil pot provides reached results right safety select settings size slider tasty temperature temperatureready tfal thermostat time use want window",4,0
"5391",17360,"yellow dress"," dress flower girl girls kids organza rain ruffle sequin yellow","",4,0.471
"5392",17361,"bridal shower decorations"," clothespins gold large spritz","",2,0.471
"5393",17371,"face cream"," cream face neck new sculpting sealed strivectintl tightening","",4,0.471
"5394",17372,"decorative pillows"," 22x22 brown circle decorative fill pillows poly ruffle surya"," 22x22 accent accents addition ally bedroom beige brown choose circle clean color cover decorative featured fill imported leap living make perfect pillow pillows poly polyester removable room ruffle simple solid spot square stylish surya textured toss will yet",4,0
"5395",17378,"shaver panasonic"," blades cutter panasonic replacement shaver"," blade es7002 es7003 es7006 es7007 es7008 es7015 es7016 es7017 es7018 es7024 es7025 es7026 es7027 es762 es765 es766 es7801 es8016 es8017 es8018 es8019 es8023 es8024 es8025 es8026 es8033 es8036 es8056 es8065 es8066 es8067 es8068 es8080 es881 es882 es883 following inner mens models panasonic replacement setfor shaver wes9070p",2,0.632
"5396",17380,"hat rack"," black coat hall hat metal rack stand tree umbrella walnut"," also arms beautiful black coat convenient elegantly features finish includes knobs large metal nine organized rack small stand stay stylish total umbrella walnut wooden",4,0.471
"5397",17381,"deep fryers"," aluminum deep enamel fryer gourmet handle helper nonstick porcelain quart tramontina"," 1731 350 427 763 806 added addition aluminum baking basket boiling can capacity care ceramic chips cleaning coil comfort compatibility compatible constructed cooking cooktop cooktops cookware covered crisp deep degrees designed diameter dimensions dishwasher dishwashersafe drain dual durable effortless electric enamel ergonomically everything exceptional excess exterior fahrenheit features flavorful food fried fryer frying gas glass gourmet handle handles heavygauge helper helps high highperformance ideal includes lid lifetime lift made material materials multifunctional nonstick number oil oven ovensafe pan panpot performance pfoafree pieces platinum porcelain pot producing proudly provides purpose quality quart recipes resistant riveted safe sauce sauces savory scratches serves set shield silicone softgrip soups spattering stability stainless steel surface teflon temperatures tramontinas usa used vegetables volume warranty weight",4,0
"5398",17385,"three wheeled bike"," bicycle convertible ice quadrabyke"," adapts age ages bicycle bike bikes childs comfort development exciting first four grows investment kids mini new one play quad quadrabyke quickly safety three tots trike two versatile wheel wheeler",2,0.632
"5399",17389,"fitbit charge"," black charge fitbit large"," 106 113 30000 3axis accelerometer altimeter altitute android atm battery bluetooth cable call charge charging components computers connection daily data days detailed devices display dongle energy feet fits gen hours included internet ipad iphone large later leading life lithiumpolymer low mac maximum minute mobile motion motor notifications oled one operating past port proof radio rain range rating requires resistance sensors sizing small splash sweat sync syncing syncs temperature test time totals tracks transceiver two type usb via vibration vista water whats windows wireless wrists",4,0
"5400",17390,"assassinss creed"," assassins creed ubisoft ubp50400951 unity xone"," 1789 apart aristocracy arno assassin assassins behind blood chaos city cobblestone commoners creed dared day edition embark expose extraordinary fate french journey limited man master middle named nation oncemagnificent oppressive paris place powers pursuit red revolution rise run ruthless streets struggle tears terror throw transform true turns unity will xone young",4,0.943
